jinghpaw,english,domain,notes,verified
Chyeju kaba sai.,Thank you very much.,greetings,common expression of thanks,false
Kaja ai i?,How are you? / Are you well?,greetings,common greeting,false
Kaja ai.,I am well.,greetings,reply to Kaja ai i?,false
Jinghpaw,Jingpho / Kachin (the language and people),identity,endonym,false
langai,one,numbers,cardinal number,false
lahkawng,two,numbers,cardinal number,false
masum,three,numbers,cardinal number,false
mali,four,numbers,cardinal number,false
manga,five,numbers,cardinal number,false
jan,sun,nature,,false
shata,moon; month,nature,,false
Myitkyina,Myitkyina (capital of Kachin State),places,proper noun,false
Laiza,Laiza (border city),places,proper noun,false

